date,tenor,side,rate
1992-06-25,9M,PRIBOR,14.25
1992-06-26,1D,PRIBID,5.81
1992-06-26,1D,PRIBOR,7.63
1992-06-26,1M,PRIBID,8.63
1992-06-26,1M,PRIBOR,10.13
1992-06-26,1W,PRIBID,7.5
1992-06-26,1W,PRIBOR,8.81
1992-06-26,2W,PRIBID,8.0
1992-06-26,2W,PRIBOR,9.31
1992-06-26,3M,PRIBID,9.44
1992-06-26,3M,PRIBOR,11.13
1992-06-26,6M,PRIBID,10.56
1992-06-26,6M,PRIBOR,12.25
1992-06-26,9M,PRIBID,11.88
1992-06-26,9M,PRIBOR,14.0
1992-06-29,1D,PRIBID,6.19
1992-06-29,1D,PRIBOR,7.94
1992-06-29,1M,PRIBID,8.69
1992-06-29,1M,PRIBOR,10.19
1992-06-29,1W,PRIBID,7.5
1992-06-29,1W,PRIBOR,8.94
1992-06-29,2W,PRIBID,7.94
1992-06-29,2W,PRIBOR,9.38
1992-06-29,3M,PRIBID,9.88
1992-06-29,3M,PRIBOR,11.38
1992-06-29,6M,PRIBID,10.81
1992-06-29,6M,PRIBOR,12.69
1992-06-29,9M,PRIBID,11.81
1992-06-29,9M,PRIBOR,13.88
1992-06-30,1D,PRIBID,5.19
1992-06-30,1D,PRIBOR,7.13
1992-06-30,1M,PRIBID,8.75
1992-06-30,1M,PRIBOR,10.19
1992-06-30,1W,PRIBID,7.06
1992-06-30,1W,PRIBOR,8.44
1992-06-30,2W,PRIBID,7.5
1992-06-30,2W,PRIBOR,8.88
1992-06-30,3M,PRIBID,9.56
1992-06-30,3M,PRIBOR,11.19
1992-06-30,6M,PRIBID,10.75
1992-06-30,6M,PRIBOR,12.69
1992-06-30,9M,PRIBID,11.56
1992-06-30,9M,PRIBOR,13.5
1992-07-01,1D,PRIBID,5.75
1992-07-01,1D,PRIBOR,7.5
1992-07-01,1M,PRIBID,9.0
1992-07-01,1M,PRIBOR,10.38
1992-07-01,1W,PRIBID,7.31
1992-07-01,1W,PRIBOR,8.63
1992-07-01,2W,PRIBID,7.69
1992-07-01,2W,PRIBOR,8.88
1992-07-01,3M,PRIBID,9.94
1992-07-01,3M,PRIBOR,11.44
1992-07-01,6M,PRIBID,10.81
1992-07-01,6M,PRIBOR,12.69
1992-07-01,9M,PRIBID,11.81
1992-07-01,9M,PRIBOR,13.75
1992-07-02,1D,PRIBID,5.0
1992-07-02,1D,PRIBOR,7.06
1992-07-02,1M,PRIBID,8.81
1992-07-02,1M,PRIBOR,10.19
1992-07-02,1W,PRIBID,7.25
1992-07-02,1W,PRIBOR,8.63
1992-07-02,2W,PRIBID,7.75
1992-07-02,2W,PRIBOR,9.06
1992-07-02,3M,PRIBID,9.88
1992-07-02,3M,PRIBOR,11.5
1992-07-02,6M,PRIBID,10.81
1992-07-02,6M,PRIBOR,12.69
1992-07-02,9M,PRIBID,11.94
1992-07-02,9M,PRIBOR,13.88
1992-07-03,1D,PRIBID,5.25
1992-07-03,1D,PRIBOR,7.19
1992-07-03,1M,PRIBID,8.81
